 t, 	x,	y,	h
 0.00, 0.00, 0.00, 0.00
 0.10, 0.00, 0.00, 0.10
 0.20, 0.00, 0.00, 0.20
 0.30, 0.00, 0.00, 0.30
 0.40, 0.00, 0.00, 0.40
 0.50, 0.00, 0.00, 0.50
 0.60, 0.00, 0.00, 0.60
 0.70, 0.00, 0.00, 0.70
 0.80, 0.00, 0.00, 0.80
 0.90, 0.00, 0.00, 0.90
Drone reached flying altitude...
 1.00, 0.00, 0.00, 1.00
 1.10,-0.15,-0.50, 0.98
 1.20,-0.31,-1.00, 0.96
 1.30,-0.48,-1.51, 0.94
 1.40,-0.30,-1.00, 0.96
 1.50,-0.13,-0.49, 0.98
 1.60, 0.03, 0.01, 1.00
 1.70, 0.18, 0.51, 1.02
 1.80, 0.32, 1.00, 1.04
 1.90, 0.45, 1.50, 1.06
 2.00, 0.57, 1.99, 1.08
 2.10, 0.68, 2.48, 1.10
 2.20, 0.78, 2.96, 1.12
 2.30, 0.87, 3.44, 1.14
 2.40, 0.95, 3.91, 1.16
 2.50, 0.95, 3.91, 1.16
 2.60, 0.95, 3.91, 1.06
 2.70, 0.95, 3.91, 0.96
 2.80, 0.95, 3.91, 0.86
 2.90, 0.95, 3.91, 0.76
 3.00, 0.95, 3.91, 0.66
 3.10, 0.95, 3.91, 0.56
 3.20, 0.95, 3.91, 0.46
 3.30, 0.95, 3.91, 0.36
 3.40, 0.95, 3.91, 0.26
 3.50, 0.95, 3.91, 0.16
 3.60, 0.95, 3.91, 0.06
 3.70, 0.95, 3.91, 0.00
