time, x, y, h 
 0.05,  0.00,  0.00,  0.05
 0.15,  0.00,  0.00,  0.15
 0.26,  0.00,  0.00,  0.26
 0.36,  0.00,  0.00,  0.36
 0.46,  0.00,  0.00,  0.46
 0.56,  0.00,  0.00,  0.56
 0.66,  0.00,  0.00,  0.66
 0.76,  0.00,  0.00,  0.76
 0.86,  0.00,  0.00,  0.86
 0.97,  0.00,  0.00,  0.97
 1.07,  0.00,  0.00,  1.07
 1.17,  0.00,  0.00,  1.07
 1.27,  0.00,  0.00,  1.07
 1.38,  0.00,  0.00,  1.07
 1.48,  0.00,  0.00,  1.07
 1.58,  0.00,  0.00,  1.07
 1.68,  0.00,  0.00,  1.07
 1.78,  0.00,  0.00,  1.07
 1.88,  0.00,  0.00,  1.07
 1.98,  0.00,  0.00,  1.07
 2.08,  0.00,  0.00,  1.07
 2.19,  0.00,  0.00,  1.07
 2.29,  0.00,  0.00,  1.07
 2.39,  0.00,  0.00,  1.07
 2.49,  0.00,  0.00,  1.07
 2.60,  0.00,  0.00,  1.07
 2.70,  0.00,  0.00,  1.07
 2.80,  0.00,  0.00,  1.07
 2.90,  0.00,  0.00,  1.07
 3.00,  0.00,  0.00,  1.07
 3.11,  0.00,  0.00,  1.07
 3.21,  0.00,  0.00,  1.07
 3.31,  0.00,  0.00,  1.07
 3.41,  0.00,  0.00,  1.07
 3.52,  0.00,  0.00,  1.07
 3.62,  0.00,  0.00,  1.07
 3.72,  0.00,  0.00,  1.07
 3.83,  0.00,  0.00,  1.07
 3.93,  0.00,  0.00,  1.07
 4.03,  0.00,  0.00,  1.07
 4.13,  0.00,  0.00,  1.07
 4.23,  0.00,  0.00,  1.07
 4.33,  0.00,  0.00,  1.07
 4.43,  0.00,  0.00,  1.07
 4.53,  0.00,  0.00,  1.07
 4.64,  0.00,  0.00,  1.07
 4.74,  0.00,  0.00,  1.07
 4.84,  0.00,  0.00,  1.07
 4.94,  0.00,  0.00,  1.07
 5.04,  0.50,  0.00,  1.07
 5.14,  1.00,  0.00,  1.07
 5.24,  1.51,  0.00,  1.07
 5.34,  2.02,  0.00,  1.07
 5.45,  2.53,  0.00,  1.07
 5.55,  3.03,  0.00,  1.07
 5.65,  3.54,  0.00,  1.07
 5.75,  4.05,  0.00,  1.07
 5.85,  4.56,  0.00,  1.07
 5.95,  5.06,  0.00,  1.07
 6.05,  5.57,  0.00,  1.07
 6.15,  6.07,  0.00,  1.07
 6.26,  6.58,  0.00,  1.07
 6.36,  7.08,  0.00,  1.07
 6.46,  7.59,  0.00,  1.07
 6.56,  8.10,  0.00,  1.07
 6.66,  8.60,  0.00,  1.07
 6.76,  9.11,  0.00,  1.07
 6.86,  9.61,  0.00,  1.07
 6.96,  10.12,  0.00,  1.07
 7.06,  10.62,  0.00,  1.07
 7.16,  11.13,  0.00,  1.07
 7.27,  11.63,  0.00,  1.07
 7.37,  12.14,  0.00,  1.07
 7.47,  12.64,  0.00,  1.07
 7.57,  13.15,  0.00,  1.07
 7.67,  13.66,  0.00,  1.07
 7.77,  14.16,  0.00,  1.07
 7.87,  14.67,  0.00,  1.07
 7.97,  15.17,  0.00,  1.07
 8.07,  15.68,  0.00,  1.07
 8.18,  16.18,  0.00,  1.07
 8.27,  16.68,  0.00,  1.07
 8.38,  17.19,  0.00,  1.07
 8.48,  17.69,  0.00,  1.07
 8.58,  18.20,  0.00,  1.07
 8.70,  18.79,  0.00,  1.07
 8.85,  19.53,  0.00,  1.07
 8.99,  20.27,  0.00,  1.07
 9.10,  20.79,  0.00,  1.07
 9.27,  21.63,  0.00,  1.07
 9.37,  22.14,  0.00,  1.07
 9.47,  22.66,  0.00,  1.07
 9.57,  23.18,  0.00,  1.07
 9.68,  23.68,  0.00,  1.07
 9.78,  24.19,  0.00,  1.07
 9.88,  24.70,  0.00,  1.07
 9.98,  24.19,  0.00,  1.07
 10.08,  23.68,  0.00,  1.07
 10.18,  23.17,  0.00,  1.07
 10.28,  22.67,  0.00,  1.07
 10.39,  22.16,  0.00,  1.07
 10.49,  21.66,  0.00,  1.07
 10.59,  21.14,  0.00,  1.07
 10.69,  20.64,  0.00,  1.07
 10.79,  20.13,  0.00,  1.07
 10.89,  19.63,  0.00,  1.07
 10.99,  19.13,  0.00,  1.07
 11.09,  18.62,  0.00,  1.07
 11.19,  18.12,  0.00,  1.07
 11.30,  17.61,  0.00,  1.07
 11.40,  17.11,  0.00,  1.07
 11.50,  16.60,  0.00,  1.07
 11.60,  16.10,  0.00,  1.07
 11.70,  15.59,  0.00,  1.07
 11.80,  15.08,  0.00,  1.07
 11.90,  14.58,  0.00,  1.07
 12.00,  14.08,  0.00,  1.07
 12.10,  13.57,  0.00,  1.07
 12.21,  13.06,  0.00,  1.07
 12.31,  12.56,  0.00,  1.07
 12.41,  12.05,  0.00,  1.07
 12.51,  11.55,  0.00,  1.07
 12.61,  11.05,  0.00,  1.07
 12.71,  10.53,  0.00,  1.07
 12.81,  10.03,  0.00,  1.07
 12.91,  9.53,  0.00,  1.07
 13.01,  9.03,  0.00,  1.07
 13.11,  8.52,  0.00,  1.07
 13.22,  8.02,  0.00,  1.07
 13.32,  7.51,  0.00,  1.07
 13.42,  7.00,  0.00,  1.07
 13.52,  6.49,  0.00,  1.07
 13.62,  5.99,  0.00,  1.07
 13.72,  5.48,  0.00,  1.07
 13.82,  4.98,  0.00,  1.07
 13.92,  4.47,  0.00,  1.07
 14.02,  3.97,  0.00,  1.07
 14.13,  3.47,  0.00,  1.07
 14.23,  2.96,  0.00,  1.07
 14.33,  2.46,  0.00,  1.07
 14.43,  1.95,  0.00,  1.07
 14.53,  1.44,  0.00,  1.07
 14.63,  0.94,  0.00,  1.07
 14.73,  0.43,  0.00,  1.07
 14.84, -0.08,  0.00,  1.07
 14.94, -0.58,  0.00,  1.07
 15.04, -0.58,  0.51,  1.07
 15.14, -0.58,  1.02,  1.07
 15.24, -0.58,  1.53,  1.07
 15.34, -0.58,  2.03,  1.07
 15.44, -0.58,  2.53,  1.07
 15.54, -0.58,  3.03,  1.07
 15.64, -0.58,  3.54,  1.07
 15.75, -0.58,  4.05,  1.07
 15.85, -0.58,  4.56,  1.07
 15.95, -0.58,  5.07,  1.07
 16.05, -0.58,  5.58,  1.07
 16.15, -0.58,  6.09,  1.07
 16.25, -0.58,  6.59,  1.07
 16.35, -0.58,  7.09,  1.07
 16.45, -0.58,  7.60,  1.07
 16.56, -0.58,  8.10,  1.07
 16.66, -0.58,  8.62,  1.07
 16.76, -0.58,  9.12,  1.07
 16.86, -0.58,  9.62,  1.07
 16.96, -0.58,  10.12,  1.07
 17.06, -0.58,  10.62,  1.07
 17.16, -0.58,  11.14,  1.07
 17.26, -0.58,  11.63,  1.07
