time, x, y, h
0.06,  0.00,  10.00,  0.06
0.17,  0.00,  10.00,  0.17
0.28,  0.00,  10.00,  0.28
0.38,  0.00,  10.00,  0.38
0.48,  0.00,  10.00,  0.48
0.58,  0.00,  10.00,  0.58
0.69,  0.00,  10.00,  0.69
0.80,  0.00,  10.00,  0.80
0.90,  0.00,  10.00,  0.90
1.00,  0.00,  10.00,  1.00
1.13, -0.61,  10.00,  1.00
1.23, -1.12,  10.00,  1.00
1.33, -1.63,  10.00,  1.00
1.43, -2.14,  10.00,  1.00
1.53, -2.65,  10.00,  1.00
1.65, -3.26,  10.00,  1.00
1.77, -3.83,  10.00,  1.00
1.87, -4.34,  10.00,  1.00
1.97, -4.85,  10.00,  1.00
2.08, -5.36,  10.00,  1.00
2.18, -5.87,  10.00,  1.00
2.28, -6.37,  10.00,  1.00
2.38, -6.88,  10.00,  1.00
2.48, -7.39,  10.00,  1.00
2.58, -7.90,  10.00,  1.00
2.69, -8.43,  10.00,  1.00
2.79, -8.93,  10.00,  1.00
2.89, -9.45,  10.00,  1.00
3.00, -9.45,  10.51,  1.00
3.10, -9.45,  11.02,  1.00
3.20, -9.45,  11.53,  1.00
3.30, -9.45,  12.05,  1.00
3.40, -9.45,  12.56,  1.00
3.51, -8.94,  12.56,  1.00
3.61, -8.43,  12.56,  1.00
3.71, -7.91,  12.56,  1.00
3.82, -7.40,  12.56,  1.00
3.92, -6.89,  12.56,  1.00
4.02, -6.38,  12.56,  1.00
4.12, -5.86,  12.56,  1.00
4.23, -5.34,  12.56,  1.00
4.33, -4.84,  12.56,  1.00
4.43, -4.33,  12.56,  1.00
4.53, -3.82,  12.56,  1.00
4.64, -3.30,  12.56,  1.00
4.74, -2.77,  12.56,  1.00
4.85, -2.24,  12.56,  1.00
4.95, -1.74,  12.56,  1.00
5.05, -1.20,  12.56,  1.00
5.16, -0.66,  12.56,  1.00
5.27, -0.11,  12.56,  1.00
5.38,  0.40,  12.56,  1.00
5.47,  0.40,  13.06,  1.00
5.58,  0.40,  13.57,  1.00
5.71,  0.40,  14.22,  1.00
5.82,  0.40,  14.76,  1.00
5.92,  0.40,  15.28,  1.00
6.03,  0.40,  15.83,  1.00
6.13,  0.40,  16.34,  1.00
6.24,  0.40,  16.86,  1.00
6.34,  0.40,  17.36,  1.00
6.44,  0.40,  17.86,  1.00
6.54,  0.40,  17.35,  1.00
6.64,  0.40,  16.83,  1.00
6.75,  0.40,  16.30,  1.00
6.85,  0.40,  15.79,  1.00
6.95, -0.11,  15.79,  1.00
7.05, -0.62,  15.79,  1.00
7.16, -1.13,  15.79,  1.00
7.26, -1.65,  15.79,  1.00
7.36, -2.15,  15.79,  1.00
7.46, -2.67,  15.79,  1.00
7.57, -3.18,  15.79,  1.00
7.67, -3.70,  15.79,  1.00
7.77, -4.21,  15.79,  1.00
7.87, -4.72,  15.79,  1.00
7.97, -4.72,  16.30,  1.00
8.07, -4.72,  16.80,  1.00
8.18, -4.72,  17.32,  1.00
8.28, -4.72,  17.85,  1.00
8.39, -4.72,  18.36,  1.00
8.49, -5.22,  18.36,  1.00
8.59, -5.74,  18.36,  1.00
8.69, -6.25,  18.36,  1.00
8.79, -6.75,  18.36,  1.00
8.90, -7.26,  18.36,  1.00
9.00, -7.77,  18.36,  1.00
9.10, -8.27,  18.36,  1.00
9.20, -8.78,  18.36,  1.00
9.30, -9.29,  18.36,  1.00
9.40, -9.80,  18.36,  1.00
9.50, -9.80,  17.85,  1.00
9.61, -9.80,  17.34,  1.00
9.72, -9.80,  16.79,  1.00
9.82, -9.80,  16.27,  1.00
9.92, -9.80,  15.77,  1.00
10.02, -9.80,  16.28,  1.00
10.12, -9.80,  16.77,  1.00
10.22, -9.80,  17.28,  1.00
10.32, -9.80,  17.79,  1.00
10.43, -9.80,  18.30,  1.00
10.53, -9.80,  18.81,  1.00
10.63, -9.80,  19.32,  1.00
10.73, -9.80,  19.84,  1.00
10.84, -9.80,  20.34,  1.00
10.94, -9.80,  20.85,  1.00
11.04, -9.29,  20.85,  1.00
11.14, -8.78,  20.85,  1.00
11.24, -8.27,  20.85,  1.00
11.34, -7.77,  20.85,  1.00
11.44, -7.26,  20.85,  1.00
11.55, -6.75,  20.85,  1.00
11.65, -6.25,  20.85,  1.00
11.75, -5.73,  20.85,  1.00
11.85, -5.23,  20.85,  1.00
11.95, -4.72,  20.85,  1.00
12.06, -4.20,  20.85,  1.00
12.16, -3.70,  20.85,  1.00
12.26, -3.18,  20.85,  1.00
12.36, -2.68,  20.85,  1.00
12.46, -2.17,  20.85,  1.00
12.56, -1.66,  20.85,  1.00
12.67, -1.15,  20.85,  1.00
12.77, -0.64,  20.85,  1.00
12.87, -0.13,  20.85,  1.00
12.97, -0.65,  21.37,  1.00
13.07, -1.16,  21.88,  1.00
13.18, -1.68,  22.40,  1.00
13.28, -2.19,  22.91,  1.00
13.38, -2.69,  23.41,  1.00
13.48, -2.19,  23.92,  1.00
13.58, -1.68,  24.42,  1.00
13.69, -1.16,  24.94,  1.00
13.79, -0.65,  25.45,  1.00
13.89, -0.15,  25.95,  1.00
13.99, -0.65,  25.95,  1.00
14.09, -1.16,  25.95,  1.00
14.20, -1.67,  25.95,  1.00
14.30, -2.18,  25.95,  1.00
